candidate_id,rank,score,reasoning
CAND_0002025,1,1.2137,"Top-tier founding fit. Outstanding Senior AI Engineer with 5.9 years of experience specializing in vector databases, semantic search, LLM fine-tuning. Demonstrates a strong product company background and excellent technical depth. Minor gap is based in remote (requires remote or relocation negotiation), but their exceptional skills and high engagement make them our top recommendation."
CAND_0077337,2,1.2023,"Top-tier founding fit. Outstanding Staff Machine Learning Engineer with 7.0 years of experience specializing in vector databases, semantic search, LLM fine-tuning. Demonstrates a strong product company background and excellent technical depth. Minor gap is a 60-day notice period, but their exceptional skills and high engagement make them our top recommendation."
CAND_0052328,3,1.1226,"Top-tier founding fit. Outstanding Recommendation Systems Engineer with 6.5 years of experience specializing in semantic search, LLM fine-tuning. Demonstrates a strong product company background and excellent technical depth. Minor gap is based in remote (requires remote or relocation negotiation), but their exceptional skills and high engagement make them our top recommendation."
CAND_0050876,4,1.0751,"Top-tier founding fit. Outstanding Applied ML Engineer with 6.0 years of experience specializing in semantic search, LLM fine-tuning. Demonstrates a strong product company background and excellent technical depth. Minor gap is a 90-day notice period, but their exceptional skills and high engagement make them our top recommendation."
CAND_0041669,5,1.0599,"Top-tier founding fit. Outstanding Recommendation Systems Engineer with 8.0 years of experience specializing in vector databases, semantic search, LLM fine-tuning. Demonstrates a strong product company background and excellent technical depth. Minor gap is a 60-day notice period, but their exceptional skills and high engagement make them our top recommendation."
CAND_0064326,6,1.0376,"Top-tier founding fit. Outstanding Search Engineer with 7.6 years of experience specializing in vector databases, semantic search. Demonstrates a strong product company background and excellent technical depth. Minor gap is a 45-day notice period, but their exceptional skills and high engagement make them our top recommendation."
CAND_0052682,7,0.9803,"Top-tier founding fit. Outstanding NLP Engineer with 6.6 years of experience specializing in semantic search, LLM fine-tuning. Demonstrates a strong product company background and excellent technical depth. Minor gap is based in remote (requires remote or relocation negotiation), but their exceptional skills and high engagement make them our top recommendation."
CAND_0061257,8,0.9697,"Top-tier founding fit. Outstanding Staff Machine Learning Engineer with 8.0 years of experience specializing in semantic search. Demonstrates a strong product company background and excellent technical depth. Minor gap is based in remote (requires remote or relocation negotiation), but their exceptional skills and high engagement make them our top recommendation."
CAND_0036184,9,0.9627,"Top-tier founding fit. Outstanding Recommendation Systems Engineer with 6.0 years of experience specializing in semantic search, LLM fine-tuning. Demonstrates a strong product company background and excellent technical depth. Minor gap is based in remote (requires remote or relocation negotiation), but their exceptional skills and high engagement make them our top recommendation."
CAND_0065195,10,0.96,"Top-tier founding fit. Outstanding Search Engineer with 5.1 years of experience specializing in LLM fine-tuning. Demonstrates a strong product company background and excellent technical depth. Minor gap is a 45-day notice period, but their exceptional skills and high engagement make them our top recommendation."
